method	test	model	dataset	evaluation_metric	context	encoding_level	p_value	effect_size	SE	SD	SD_weighted
CEAT	C1_name_word	bloom	full	cos	template	sent	0.0	0.5650111344355994	0.00294662692701265	0.32698275646018743	0.10691762045010733
CEAT	C1_name_word	bloom	full	cos	template	word-average	6.0357204216698975e-146	0.08934185453994618	0.003472868494650447	0.2544579444427266	0.06475264169289868
CEAT	C1_name_word	bloom	full	cos	template	word-start	0.0051135929092683005	-0.0066967385221423145	0.0023918720854420677	0.22031602897046965	0.04853822582178547
CEAT	C1_name_word	bloom	full	cos	template	word-end	5.327708708552501e-221	0.12088765047122574	0.0038094393865319384	0.26490808317527215	0.07018292878018347
CEAT	C3_name_word	bloom	full	cos	template	sent	0.0	-0.13271156004806936	0.003243999694875088	0.3487521942369392	0.1216280374668575
CEAT	C3_name_word	bloom	full	cos	template	word-average	3.799371643784996e-96	0.06573439218281184	0.003159358193213401	0.2781267487648848	0.07735553384385872
CEAT	C3_name_word	bloom	full	cos	template	word-start	1.7098494647986553e-77	0.07836245071261369	0.004205395733941748	0.3442337988701552	0.11850598845239625
CEAT	C3_name_word	bloom	full	cos	template	word-end	2.23011986468819e-20	0.02898134452299369	0.0031328787717584167	0.37184293921453837	0.13827653754263267
CEAT	C3_term_word	bloom	full	cos	template	sent	0.0	-0.11271282720007661	0.0026096819907549316	0.25881980685717604	0.0669876820983019
CEAT	C3_term_word	bloom	full	cos	template	word-average	0.20558635160769623	-0.004229211774882716	0.0033411496523140173	0.29502035829184636	0.08703840247491805
CEAT	C3_term_word	bloom	full	cos	template	word-start	1.2945236237110006e-08	-0.020814522759641917	0.00366015567724469	0.30902012242304905	0.09549564356603182
CEAT	C3_term_word	bloom	full	cos	template	word-end	7.128794807013286e-207	0.09147895323876651	0.0029804817671268092	0.3112012340243943	0.09684728652646808
CEAT	C6_name_word	bloom	full	cos	template	sent	3.150685801707469e-119	0.11781868401757907	0.005074927359475423	0.5117639710952805	0.2619023272640757
CEAT	C6_name_word	bloom	full	cos	template	word-average	0.031152755786364277	0.01002774505003145	0.004652995439859371	0.4958132307974404	0.24583065474051827
CEAT	C6_name_word	bloom	full	cos	template	word-start	7.64045291596141e-59	0.0720297794917197	0.004453312428925469	0.48972467513880336	0.23982635383656842
CEAT	C6_name_word	bloom	full	cos	template	word-end	0.020373405843633757	-0.011365758728715173	0.004900303133446129	0.49718414858701815	0.2471912951831946
CEAT	C6_term_word	bloom	full	cos	template	sent	2.1225862257734456e-20	-0.03021961780006519	0.003264872269759271	0.3346761853748982	0.11200808366761875
CEAT	C6_term_word	bloom	full	cos	template	word-average	4.0218189054794714e-05	-0.013407515147817673	0.0032651700567445556	0.3742263218738322	0.14004149722334552
CEAT	C6_term_word	bloom	full	cos	template	word-start	9.364193732878338e-74	-0.06323894043279897	0.0034809150655968745	0.37422111852593926	0.14003423449657926
CEAT	C6_term_word	bloom	full	cos	template	word-end	1.322894183758842e-22	0.03144262569096696	0.0032137778550981482	0.36876944859834604	0.1359877712349322
CEAT	C9_name_word	bloom	full	cos	template	sent	0.0	0.341640356841474	0.00356961055927202	0.3665986461873886	0.13439456726331303
CEAT	C9_name_word	bloom	full	cos	template	word-average	0.0	0.16747276689996815	0.002623986678377721	0.2714427260321083	0.07368097547956137
CEAT	C9_name_word	bloom	full	cos	template	word-start	0.0	0.12117788573500125	0.0022033687988536935	0.21732943949008332	0.04723231690628729
CEAT	C9_name_word	bloom	full	cos	template	word-end	0.0	0.191450355733709	0.0038022558334574147	0.4148631695224253	0.17211136967374677
CEAT	C9_name_m_word	bloom	full	cos	template	sent	0.0	0.3836435844522326	0.003568840454675752	0.36717969494771996	0.13482093493482342
CEAT	C9_name_m_word	bloom	full	cos	template	word-average	0.0	0.17617693361396242	0.002467016600872126	0.2512362761601783	0.06311955143924076
CEAT	C9_name_m_word	bloom	full	cos	template	word-start	0.0	0.1173047814251506	0.0020880324033756893	0.20631404949118648	0.04256576986849036
CEAT	C9_name_m_word	bloom	full	cos	template	word-end	0.0	0.22620012420946153	0.0036577960273988	0.4067997131371571	0.16548592671625392
CEAT	C9_term_word	bloom	full	cos	template	sent	0.0	0.6389351317153757	0.005288621841013682	0.5250588511732228	0.27568679316476014
CEAT	C9_term_word	bloom	full	cos	template	word-average	0.0	0.23160216686464624	0.004994122546825285	0.49442725262216386	0.2444582805904687
CEAT	C9_term_word	bloom	full	cos	template	word-start	0.0	0.45448376025780934	0.004534094459660993	0.4376226792212092	0.1915136038784681
CEAT	C9_term_word	bloom	full	cos	template	word-end	0.0	0.6369087474212498	0.005403810561271662	0.5522094518243222	0.30493526887904293
CEAT	Occ_name_word	bloom	full	cos	template	sent	9.680961571714659e-103	-0.07210981015071118	0.0033505101097800398	0.37975350491484045	0.14421239924421764
CEAT	Occ_name_word	bloom	full	cos	template	word-average	7.774820581904016e-25	-0.028101187629826434	0.002730781689120027	0.27015681234327926	0.07298365777005063
CEAT	Occ_name_word	bloom	full	cos	template	word-start	3.349362081689766e-08	0.01428038065430537	0.002586032934113934	0.26202893129950133	0.06865841411323144
CEAT	Occ_name_word	bloom	full	cos	template	word-end	1.2945500979732844e-223	-0.10147692229098543	0.0031788363127869695	0.26785677219109955	0.07175805129030272
CEAT	Occ_term_word	bloom	full	cos	template	sent	6.21587035662973e-173	0.09283636896379369	0.003311533713131175	0.343502620632799	0.11799398280323943
CEAT	Occ_term_word	bloom	full	cos	template	word-average	0.5554453062926312	0.0021787702041620406	0.003695209570322732	0.372199337569309	0.13853260261316055
CEAT	Occ_term_word	bloom	full	cos	template	word-start	3.215455112093744e-06	-0.016479559968738112	0.0035390030757369386	0.37946297025745596	0.1439938808227133
CEAT	Occ_term_word	bloom	full	cos	template	word-end	2.412333879987021e-29	0.036283043506649154	0.003226191265106416	0.3763269680819085	0.1416185566751856
CEAT	Dis_term_word	bloom	full	cos	template	sent	7.143183437736761e-38	0.032655835181134	0.002538473515875359	0.2498966968443598	0.06244835422084546
CEAT	Dis_term_word	bloom	full	cos	template	word-average	0.0	0.5018123988032571	0.0015631195310279716	0.15649954250237852	0.024492106010264122
CEAT	Dis_term_word	bloom	full	cos	template	word-start	0.0	0.5813270139844098	0.0011246753281508406	0.11203935477662491	0.012552824428719701
CEAT	Dis_term_word	bloom	full	cos	template	word-end	0.0	-0.630778685716724	0.002214992647926903	0.21676518402078057	0.04698714959770327
CEAT	Dis_term_m_word	bloom	full	cos	template	sent	4.866840863384537e-56	0.04012490851551404	0.0025440971168483595	0.25003402208352926	0.06251701283468433
CEAT	Dis_term_m_word	bloom	full	cos	template	word-average	0.0	0.4987182894313743	0.0015844771976528743	0.1587239885705369	0.02519330279647144
CEAT	Dis_term_m_word	bloom	full	cos	template	word-start	0.0	0.5809021547436758	0.0011026971371396732	0.10998001400821225	0.01209560914367286
CEAT	Dis_term_m_word	bloom	full	cos	template	word-end	0.0	-0.6358917892501041	0.002250519168534216	0.21707321249486564	0.047120781554538256
CEAT	I1_name_word	bloom	full	cos	template	sent	0.0	0.9231315486122849	0.0031590077102565386	0.2791565947863437	0.0779284716179297
CEAT	I1_name_word	bloom	full	cos	template	word-average	0.0	0.6394391092236456	0.003749924954634727	0.3710723841727491	0.1376947871353731
CEAT	I1_name_word	bloom	full	cos	template	word-start	0.0	1.4204230457646927	0.001650033248170759	0.1650456461562233	0.027240057482275624
CEAT	I1_name_word	bloom	full	cos	template	word-end	0.2696649952512571	0.005185529791614851	0.004697742670130971	0.4713162534605375	0.22213908776611296
CEAT	I1_term_word	bloom	full	cos	template	sent	0.0	-0.15313299343373232	0.0025660759519273994	0.23426410330205488	0.054879675671508955
CEAT	I1_term_word	bloom	full	cos	template	word-average	0.0	0.5497044613739709	0.001142991215082299	0.12344767761562839	0.015239143393631293
CEAT	I1_term_word	bloom	full	cos	template	word-start	0.0	0.6675953329872226	0.0006982932781066548	0.07288186484310771	0.005311583671416223
CEAT	I1_term_word	bloom	full	cos	template	word-end	0.0	0.2547550590195295	0.003205298782071725	0.20528916940560948	0.04214372196667778
CEAT	I2_name_word	bloom	full	cos	template	sent	0.0	0.9379101581408332	0.0029437249663919777	0.2566800822781909	0.06588476382287854
CEAT	I2_name_word	bloom	full	cos	template	word-average	0.0	0.4188159513872365	0.004413676849507724	0.4030774706431091	0.16247175219770307
CEAT	I2_name_word	bloom	full	cos	template	word-start	0.0	0.8798030627191195	0.004061982105387575	0.4140728414120887	0.171456259376065
CEAT	I2_name_word	bloom	full	cos	template	word-end	3.687248142933705e-220	-0.14956976372949657	0.004722348267271688	0.4565939394439316	0.20847882124608694
CEAT	I2_term_word	bloom	full	cos	template	sent	1.6650239239727582e-105	0.05938148171665118	0.0027220253608890767	0.24433103932451253	0.059697673024097925
CEAT	I2_term_word	bloom	full	cos	template	word-average	0.0	0.4148049583225435	0.0016961677727826202	0.17297000597159096	0.02991858487154754
CEAT	I2_term_word	bloom	full	cos	template	word-start	0.0	0.7193007212023039	0.001417607925138418	0.13781773022820631	0.018993720845361103
CEAT	I2_term_word	bloom	full	cos	template	word-end	0.0	0.2453090657919562	0.0025432697302736895	0.19712893901973755	0.03885990962400823
